lore_type,leaked,mean,std,count,scheme
OPTIMAL,False,3.1295546558704452,2.770235418228404,247,original
OPTIMAL,True,4.333333333333333,1.1547005383792515,3,original
STRONG,False,0.0,0.0,250,original
WEAK,False,1.4429530201342282,2.2582657491366964,149,original
WEAK,True,3.613861386138614,4.595585483982868,101,original
OPTIMAL,False,2.7813765182186234,2.564766215422288,247,uniform
OPTIMAL,True,3.0,1.0,3,uniform
STRONG,False,0.0,0.0,250,uniform
WEAK,False,0.9731543624161074,1.7856269575184651,149,uniform
WEAK,True,2.722772277227723,4.169217700915096,101,uniform
OPTIMAL,False,2.919028340080972,2.7837949815303533,247,reversed
OPTIMAL,True,6.333333333333333,1.1547005383792515,3,reversed
STRONG,False,0.0,0.0,250,reversed
WEAK,False,1.3758389261744965,2.358069841901491,149,reversed
WEAK,True,4.782178217821782,4.900212159480525,101,reversed
OPTIMAL,False,3.6558704453441297,3.4226344794464,247,doubled
OPTIMAL,True,7.0,2.0,3,doubled
STRONG,False,0.0,0.0,250,doubled
WEAK,False,2.1476510067114094,3.32958856099201,149,doubled
WEAK,True,5.237623762376238,5.716902159126891,101,doubled
